Participant_ID,Capture_Time,Type_Code,,,1= your home
M60001,8/19/2019 15:59,1,,,
M60001,8/19/2019 16:01,1,,,
M60001,8/19/2019 16:13,1,,,
M60001,8/19/2019 16:15,1,,,
M60001,8/19/2019 16:46,1,,,
M60001,8/19/2019 17:34,1,,,
M60001,8/19/2019 17:35,1,,,
M60001,8/19/2019 18:47,1,,,
M60001,8/19/2019 18:50,1,,,
M60001,8/19/2019 19:01,1,,,
M60001,8/19/2019 19:02,1,,,
M60001,8/19/2019 19:03,1,,,
M60001,8/19/2019 19:31,1,,,
M60001,8/19/2019 19:32,1,,,
M60001,8/19/2019 19:34,1,,,
M60001,8/19/2019 19:35,1,,,
M60001,8/19/2019 20:21,1,,,
M60001,8/19/2019 22:44,1,,,
M60001,8/20/2019 7:40,1,,,
M60001,8/20/2019 8:24,1,,,
M60001,8/20/2019 10:25,1,,,
M60001,8/20/2019 11:02,1,,,
M60001,8/20/2019 12:34,1,,,
M60001,8/20/2019 12:41,1,,,
M60001,8/20/2019 14:33,1,,,
M60001,8/20/2019 14:34,1,,,
M60001,8/20/2019 16:27,1,,,
M60001,8/20/2019 17:20,1,,,
M60001,8/20/2019 17:27,1,,,
M60001,8/20/2019 18:00,1,,,
M60001,8/20/2019 18:02,1,,,
M60001,8/20/2019 18:04,1,,,
M60001,8/20/2019 18:05,1,,,
M60001,8/20/2019 18:06,6,,,
M60001,8/20/2019 18:10,11,,,
M60001,8/20/2019 18:16,1,,,
M60001,8/20/2019 18:18,1,,,
M60001,8/20/2019 18:20,1,,,
M60001,8/20/2019 18:30,5,,,
M60001,8/20/2019 18:43,1,,,
